Accession	Run	Strandness	Raw Reads	Trimmed Reads	% Trimmed	Mapping Rate
ERR5903195	Internode_5_19-weeks_QN05-1743	ISR	67,258,232	38,103,494	43.35	98.22
ERR5919258	Internode_5_37-weeks_QN05-1743	ISR	85,123,582	80,525,954	5.40	98.44
ERR5936494	Internode_5_37-weeks_QN05-1743	ISR	74,553,844	64,787,414	13.10	98.51
ERR5960129	Internode_5_37-weeks_QN05-1743	ISR	77,337,676	72,931,794	5.70	98.37
ERR5881983	Internode_8_19-weeks_QN05-1743	ISR	59,309,314	55,074,828	7.14	98.69
ERR5881986	Internode_8_19-weeks_QN05-1743	ISR	72,816,164	67,747,670	6.96	98.41
ERR5900395	Internode_8_19-weeks_QN05-1743	ISR	68,981,512	64,988,842	5.79	98.57
ERR5954112	Internode_8_37-weeks_QN05-1743	ISR	66,231,786	60,200,802	9.11	98.48
ERR5954117	Internode_8_37-weeks_QN05-1743	ISR	59,474,148	54,098,322	9.04	98.20
ERR5976736	Internode_8_37-weeks_QN05-1743	ISR	63,113,766	59,630,124	5.52	98.17
ERR5919417	Internode_Ex-5_37-weeks_QN05-1743	ISR	74,648,286	69,676,154	6.66	98.21
ERR5987167	Internode_Ex-5_37-weeks_QN05-1743	ISR	68,382,124	60,514,150	11.51	97.54
ERR5987806	Internode_Ex-5_37-weeks_QN05-1743	ISR	70,576,526	63,065,640	10.64	98.00
ERR5906595	Internode_5_19-weeks_SRA1	ISR	61,005,106	57,846,558	5.18	98.17
ERR5914325	Internode_5_19-weeks_SRA1	ISR	62,654,368	57,513,638	8.20	98.23
ERR5918519	Internode_5_19-weeks_SRA1	ISR	62,023,168	56,878,760	8.29	98.49
ERR5948285	Internode_5_37-weeks_SRA1	ISR	73,407,066	68,944,890	6.08	98.27
ERR5954092	Internode_5_37-weeks_SRA1	ISR	63,529,892	57,551,484	9.41	98.07
ERR5960151	Internode_5_37-weeks_SRA1	ISR	74,342,666	70,786,542	4.78	98.01
ERR5881329	Internode_8_19-weeks_SRA1	ISR	59,545,458	56,121,836	5.75	98.45
ERR5881901	Internode_8_19-weeks_SRA1	ISR	65,250,582	59,888,748	8.22	98.01
ERR5918393	Internode_8_19-weeks_SRA1	ISR	67,936,708	62,703,310	7.70	98.38
ERR5969621	Internode_8_37-weeks_SRA1	ISR	79,961,544	75,243,954	5.90	98.27
ERR5976732	Internode_8_37-weeks_SRA1	ISR	72,615,990	68,168,654	6.12	97.69
ERR5978017	Internode_8_37-weeks_SRA1	ISR	65,051,192	57,991,564	10.85	97.76
ERR5950738	Internode_Ex-5_37-weeks_SRA1	ISR	62,497,930	49,343,512	21.05	96.84
ERR5959763	Internode_Ex-5_37-weeks_SRA1	ISR	74,938,264	70,212,862	6.31	97.47
ERR5981340	Internode_Ex-5_37-weeks_SRA1	ISR	58,096,448	46,558,744	19.86	96.99
ERR5884010	Internode_5_19-weeks_SRA2	ISR	88,239,978	10,574,554	88.02	98.09
ERR5884048	Internode_5_19-weeks_SRA2	ISR	66,474,580	62,788,764	5.54	98.44
ERR5906600	Internode_5_19-weeks_SRA2	ISR	63,295,558	57,666,570	8.89	98.09
ERR5950735	Internode_5_37-weeks_SRA2	ISR	57,153,346	49,883,750	12.72	97.61
ERR5954368	Internode_5_37-weeks_SRA2	ISR	67,595,222	43,508,646	35.63	98.38
ERR5976734	Internode_5_37-weeks_SRA2	ISR	76,208,182	72,081,866	5.41	98.30
ERR5880736	Internode_8_19-weeks_SRA2	ISR	66,260,138	63,010,136	4.90	98.18
ERR5881663	Internode_8_19-weeks_SRA2	ISR	65,990,214	62,856,808	4.75	98.05
ERR5882603	Internode_8_19-weeks_SRA2	ISR	73,376,618	68,118,196	7.17	98.00
ERR5936009	Internode_8_37-weeks_SRA2	ISR	73,734,174	69,383,190	5.90	98.35
ERR5947684	Internode_8_37-weeks_SRA2	ISR	75,639,028	71,645,338	5.28	98.24
ERR5976735	Internode_8_37-weeks_SRA2	ISR	72,168,686	68,534,528	5.04	97.94
ERR5969904	Internode_Ex-5_37-weeks_SRA2	ISR	76,935,834	72,776,128	5.41	97.98
ERR5976779	Internode_Ex-5_37-weeks_SRA2	ISR	80,012,780	73,875,900	7.67	97.78
ERR5986476	Internode_Ex-5_37-weeks_SRA2	ISR	59,764,490	50,889,374	14.85	97.24
