Gene	Gene Category
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023654	protein-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0023955	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024929	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0024995	protein and non-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025214	protein-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0025921	protein and non-coding
