out.5.3_5991	out.5.8_6019 
out.5.3_5951	out.5.8_5975 
out.5.3_5931	out.5.8_5954 
out.5.3_5913	out.5.8_5934 
out.5.8_16935	out.5.3_8800 
out.5.3_5839	out.5.8_5857 
out.1.8_1323	out.1.3_926 
out.3.3_995	out.2.8_781 
out.3.3_996	out.2.8_782 
out.5.3_5821	out.5.8_5841 
out.5.3_5819	out.5.8_5839 
out.5.3_5772	out.5.8_5788 
out.5.3_5752	out.5.8_5765 
out.5.3_5737	out.5.8_5747 
out.5.3_5732	out.5.8_5740 
out.5.3_5730	out.5.8_5738 
out.5.3_5710	out.5.8_5716 
out.5.3_5709	out.5.8_5715 
out.5.8_15474	out.5.3_14712 
out.5.3_5701	out.5.8_5706 
out.5.3_5688	out.5.8_5692 
out.5.3_5681	out.5.8_5687 
out.5.3_5666	out.5.8_4167 
out.5.3_5657	out.5.8_8597 
out.5.8_16342	out.5.3_15507 
out.5.3_5647	out.5.8_5658 
out.5.3_5626	out.5.8_5638 
out.2.8_785	out.2.3_517 
out.5.3_5576	out.5.8_5585 
out.5.8_17660	out.5.3_16690 
out.5.3_5545	out.5.8_8331 
out.2.8_814	out.2.3_608 
out.2.8_814	out.3.3_1457 
out.5.3_5513	out.5.8_5520 
out.5.3_5507	out.5.8_8184 
out.3.3_1047	out.2.8_1278 
out.3.3_1047	out.3.8_948 
out.5.3_5478	out.5.8_5475 
out.5.3_5477	out.5.8_8114 
out.5.3_5477	out.4.8_5383 
out.3.8_1238	out.4.3_1592 
out.3.3_1052	out.2.8_682 
out.3.3_1052	out.3.8_1169 
out.2.8_839	out.2.3_473 
out.2.8_839	out.3.3_1226 
out.5.3_5412	out.5.8_5410 
out.5.8_17659	out.5.3_16689 
out.5.3_5400	out.5.8_4067 
out.5.3_5377	out.5.8_5378 
out.5.8_14651	out.5.3_7927 
out.5.3_5367	out.5.8_4058 
out.5.3_5367	out.4.8_5279 
out.5.3_5356	out.5.8_5355 
out.5.3_5312	out.5.8_5311 
out.5.3_5309	out.5.8_5306 
out.2.8_908	out.2.3_814 
out.2.8_909	out.2.3_874 
out.2.8_909	out.3.3_1444 
out.3.3_1098	out.2.8_1064 
out.3.3_1098	out.3.8_1621 
out.2.8_932	out.2.3_721 
out.3.8_906	out.4.3_1362 
out.5.3_5262	out.5.8_5258 
out.5.8_13488	out.5.3_7532 
out.5.8_13457	out.5.3_7532 
out.5.3_5230	out.5.8_3995 
out.5.8_14398	out.5.3_7436 
out.5.8_14525	out.5.3_7418 
out.5.8_13083	out.5.3_7418 
out.5.3_5214	out.5.8_7484 
out.5.8_13435	out.5.3_7341 
out.5.3_5200	out.5.8_7461 
out.5.3_5200	out.4.8_7098 
out.5.8_12884	out.5.3_7341 
